total_timesteps,approx_kl,capture_accuracy,capture_attempts,captured_targets,clip_fraction,clip_range,discounted_cost,entropy_loss,ep_len_mean,ep_rew_mean,explained_variance,fps,iterations,jc_hat,lambda,learning_rate,loss,mean_power,n_delegate,n_lookahead,n_move_noop,n_payload,n_roll,n_sense_noop,n_updates,normalised_power,policy_gradient_loss,slack,targets_imaged,threshold,time_elapsed,value_loss,violation
1024.0,,,,,,,,,,,,781.0,1.0,,0.0,,,,,,,,,,,,,5.0,,500.0,1.0,,
5120.0,0.002359925,0.266,97.1,1.25,0.0667,0.1,206.0,-2.19,300.0,1.25,0.351,630.0,5.0,204.0,0.0,0.0001,-0.0101,334.0,0.0,103.0,108.0,97.1,192.0,100.0,16.0,2.23,-0.00221,5.0,4.19,500.0,8.0,0.0456,-296.0
9216.0,0.0018259706,0.23,103.0,1.04,0.0696,0.1,214.0,-2.14,300.0,1.04,0.0317,643.0,9.0,,0.0,0.0001,0.00107,346.0,0.0,99.8,107.0,103.0,193.0,97.7,32.0,2.31,-0.000917,5.0,4.12,500.0,14.0,0.0467,
14336.0,0.0035122663,0.271,110.0,1.0,0.115,0.1,222.0,-2.08,300.0,1.02,-0.195,624.0,14.0,,0.0,0.0001,-0.0129,359.0,0.0,90.6,98.7,110.0,201.0,99.8,52.0,2.39,-0.00277,5.0,4.06,500.0,22.0,0.0409,
18432.0,0.0025574914,0.333,125.0,1.5,0.0369,0.1,242.0,-2.05,300.0,1.3,-0.337,625.0,18.0,,0.0,0.0001,-0.00358,389.0,0.0,76.0,87.9,125.0,212.0,98.9,68.0,2.59,-0.00112,5.0,4.91,500.0,29.0,0.0438,
22528.0,0.0027708672,0.328,150.0,1.91,0.121,0.1,276.0,-1.99,300.0,1.42,0.0306,622.0,22.0,309.0,0.0,0.0001,-0.0108,442.0,0.0,60.8,86.0,150.0,214.0,88.7,84.0,2.95,-0.00342,5.0,5.81,500.0,36.0,0.04,-191.0
27648.0,0.003573817,0.288,174.0,1.94,0.159,0.1,310.0,-2.01,300.0,1.53,-0.0114,623.0,27.0,,0.0,0.0001,-0.00963,494.0,0.0,51.8,88.6,174.0,211.0,74.4,104.0,3.3,-0.00285,5.0,6.59,500.0,44.0,0.0302,
31744.0,0.004013169,0.297,193.0,2.5,0.108,0.1,337.0,-1.87,300.0,1.8,-0.0436,622.0,31.0,362.0,0.0,0.0001,0.0205,538.0,0.0,45.2,95.2,193.0,205.0,61.4,120.0,3.59,-0.00207,5.0,8.28,500.0,50.0,0.0977,-138.0
35840.0,0.0024775674,0.313,206.0,2.91,0.0288,0.1,354.0,-1.8,300.0,1.99,-0.0225,626.0,35.0,,0.0,0.0001,0.0401,565.0,0.0,40.4,98.3,206.0,202.0,54.1,136.0,3.77,-0.00193,5.0,9.06,500.0,57.0,0.135,
40960.0,0.0028145383,0.4,228.0,4.22,0.0557,0.1,389.0,-1.74,300.0,2.81,0.145,625.0,40.0,396.0,0.0,0.0001,0.027,616.0,0.0,33.7,109.0,228.0,191.0,38.2,156.0,4.11,-0.00139,5.0,10.6,500.0,65.0,0.108,-104.0
45056.0,0.00044055696,0.406,227.0,4.16,0.0571,0.1,388.0,-1.82,300.0,3.0,-0.0992,627.0,44.0,,0.0,0.0001,0.0231,613.0,0.0,33.7,115.0,227.0,185.0,38.9,172.0,4.09,0.00064,5.0,10.3,500.0,71.0,0.089,
49152.0,0.0031693666,0.379,230.0,4.06,0.053,0.1,388.0,-1.75,300.0,3.23,-0.0531,626.0,48.0,,0.0,0.0001,0.00207,617.0,0.0,31.0,113.0,230.0,187.0,39.3,188.0,4.11,-0.00178,5.0,10.6,500.0,78.0,0.0691,
54272.0,0.0014620223,0.349,232.0,3.53,0.0649,0.1,390.0,-1.7,300.0,3.48,0.0904,628.0,53.0,,0.0,0.0001,0.0137,624.0,0.0,28.2,94.3,232.0,206.0,39.7,208.0,4.16,-0.000671,5.0,10.4,500.0,86.0,0.0723,
58368.0,0.0012026217,0.313,238.0,2.97,0.0261,0.1,401.0,-1.68,300.0,3.51,0.0508,626.0,57.0,404.0,0.0,0.0001,-0.00185,637.0,0.0,23.6,84.2,238.0,216.0,38.3,224.0,4.25,-0.00185,5.0,9.59,500.0,93.0,0.0486,-95.6
62464.0,0.0028629364,0.315,244.0,3.28,0.0447,0.1,409.0,-1.68,300.0,3.66,0.287,624.0,61.0,418.0,0.0,0.0001,0.0322,648.0,0.0,20.0,88.7,244.0,211.0,36.2,240.0,4.32,-0.0011,5.0,10.2,500.0,99.0,0.102,-82.1
67584.0,0.004127158,0.33,253.0,3.88,0.135,0.1,421.0,-1.5,300.0,3.69,0.103,625.0,66.0,435.0,0.0,0.0001,0.0361,668.0,0.0,15.7,87.6,253.0,212.0,31.6,260.0,4.45,-0.00233,4.99,11.4,499.0,108.0,0.11,-64.4
71680.0,0.005756865,0.328,259.0,4.12,0.18,0.1,430.0,-1.46,300.0,3.67,0.166,626.0,70.0,,0.0,0.0001,0.0242,683.0,0.0,13.3,84.8,259.0,215.0,27.5,276.0,4.55,-0.00292,4.97,12.0,497.0,114.0,0.106,
75776.0,0.001327283,0.345,270.0,4.5,0.012,0.1,446.0,-1.48,300.0,3.72,0.138,626.0,74.0,,0.0,0.0001,0.0275,707.0,0.0,9.94,86.7,270.0,213.0,20.0,292.0,4.72,-0.00103,4.94,12.5,494.0,121.0,0.147,
80896.0,0.00224692,0.344,271.0,4.31,0.0889,0.1,448.0,-1.48,300.0,3.84,0.144,626.0,79.0,,0.0,0.0001,0.0256,710.0,0.0,10.6,92.4,271.0,208.0,18.2,312.0,4.73,-0.00131,4.91,12.5,491.0,129.0,0.0957,
84992.0,0.00273795,0.319,269.0,4.06,0.0608,0.1,446.0,-1.46,300.0,4.0,0.0829,627.0,83.0,447.0,0.0,0.0001,0.0135,706.0,0.0,11.9,94.2,269.0,206.0,18.8,328.0,4.71,-0.00183,4.88,12.7,488.0,135.0,0.0774,-41.9
89088.0,0.0016423657,0.342,271.0,4.47,0.0574,0.1,449.0,-1.48,300.0,4.28,0.1,622.0,87.0,446.0,0.0,0.0001,0.0242,710.0,0.0,11.4,90.5,271.0,209.0,17.9,344.0,4.73,-0.00198,4.86,13.0,486.0,143.0,0.119,-39.8
94208.0,0.003977393,0.371,270.0,4.94,0.0693,0.1,447.0,-1.5,300.0,4.5,0.325,619.0,92.0,439.0,0.0,0.0001,0.0143,707.0,0.0,11.0,84.9,270.0,215.0,19.3,364.0,4.72,-0.00276,4.83,13.2,483.0,151.0,0.0625,-44.4
98304.0,0.0029446906,0.357,267.0,4.62,0.0679,0.1,444.0,-1.47,300.0,4.41,0.265,620.0,96.0,,0.0,0.0001,0.035,702.0,0.0,11.8,84.5,267.0,216.0,21.0,380.0,4.68,-0.00162,4.8,12.8,480.0,158.0,0.118,
