total_timesteps,approx_kl,capture_accuracy,capture_attempts,captured_targets,clip_fraction,clip_range,discounted_cost,entropy_loss,ep_len_mean,ep_rew_mean,explained_variance,fps,iterations,jc_hat,lambda,learning_rate,loss,mean_power,n_delegate,n_lookahead,n_move_noop,n_payload,n_roll,n_sense_noop,n_updates,normalised_power,policy_gradient_loss,slack,targets_imaged,threshold,time_elapsed,value_loss,violation
1024.0,,,,,,,,,,,,337.0,1.0,,0.0,,,,,,,,,,,,,5.0,,499.99999999999955,3.0,,
150528.0,0.002721252,0.016307747077235688,264.9375,4.3125,0.08154296875,0.1,433.10940990613045,-1.4265338331460953,300.0,3.86,0.2762675881385803,316.0,147.0,,0.0,0.0001,0.01687914878129959,691.5641666666668,0.0,11.3125,119.34375,264.9375,180.65625,23.75,584.0,4.610427777777778,-0.002074515592539683,5.0,12.125,499.99999999999955,474.0,0.0631222277879715,
300032.0,0.0013166727,0.02636821691100412,267.71875,7.0625,0.060302734375,0.1,451.4595378712535,-1.3365050330758095,300.0,6.97,0.5435831546783447,378.0,293.0,448.9844251115942,0.0,0.0001,0.04468497261404991,714.0643749999999,0.0,21.65625,47.25,267.71875,252.75,10.625,1168.0,4.7604291666666665,-0.0053379402961581945,5.0,15.625,499.99999999999955,792.0,0.16926777781918645,-51.015574888405354
450560.0,0.0027417927,0.08944019037909133,183.03125,16.375,0.135986328125,0.1,339.4895801194318,-1.6351741254329681,300.0,15.66,0.7965229153633118,390.0,440.0,,0.0,0.0001,0.05192946270108223,538.5435416666667,0.0,73.0,30.84375,183.03125,269.15625,43.96875,1756.0,3.590290277777778,-0.004859616805333644,5.0,23.5,499.99999999999955,1154.0,0.20909540355205536,
600064.0,0.0030515695,0.0940624527277338,205.53125,19.34375,0.149658203125,0.1,374.8324599335654,-1.365010179579258,300.0,19.01,0.8488472104072571,396.0,586.0,365.397639279922,0.0,0.0001,0.050599414855241776,590.5835416666666,0.0,68.125,38.84375,205.53125,261.15625,26.34375,2340.0,3.9372236111111114,-0.005761324078775942,5.0,28.03125,499.99999999999955,1511.0,0.21373072545975447,-134.60236072007757
750592.0,0.003954562,0.10417924793579508,194.1875,20.25,0.1201171875,0.1,363.6791815838561,-1.2552015855908394,300.0,20.14,0.8541414737701416,428.0,733.0,,0.0,0.0001,0.015419237315654755,564.68125,0.0,69.375,25.3125,194.1875,274.6875,36.4375,2928.0,3.7645416666666667,-0.009962237381841987,5.0,28.53125,499.99999999999955,1753.0,0.1661798106506467,
900096.0,0.0031973862,0.16305696488123342,126.375,20.5625,0.1005859375,0.1,281.2163709358764,-1.3253078907728195,300.0,21.09,0.9134509563446045,452.0,879.0,264.9738800683535,0.0,0.0001,0.008958131074905396,430.33458333333334,0.0,120.875,18.21875,126.375,281.78125,52.75,3512.0,2.8688972222222224,-0.011179528024513274,5.0,26.15625,499.99999999999955,1991.0,0.12892933283001184,-235.02611993164606
1050624.0,0.004363383,0.1764964972914672,118.28125,20.78125,0.130859375,0.1,264.624348855359,-1.4002455919981003,300.0,21.05,0.7929848432540894,473.0,1026.0,,0.0,0.0001,0.03156013414263725,392.07604166666664,0.0,95.3125,26.40625,118.28125,273.59375,86.40625,4100.0,2.613840277777778,-0.011952103610383347,4.9797504,27.28125,497.97503999999964,2219.0,0.17955184262245893,
1200128.0,0.0039955694,0.1515841247984943,141.875,21.375,0.11474609375,0.1,283.3304655315611,-1.236312374472618,300.0,21.32,0.8668079376220703,490.0,1172.0,263.00106413273346,0.0,0.0001,0.030162427574396133,439.9925,0.0,75.65625,9.4375,141.875,290.5625,82.46875,4684.0,2.933283333333333,-0.009590142348315567,4.9199488,27.875,491.9948799999996,2445.0,0.15789070539176464,-228.99381586726616
1350656.0,0.004202687,0.20336386121210068,108.40625,21.90625,0.095458984375,0.1,230.24521011398335,-1.327008068561554,300.0,22.32,0.8701196312904358,505.0,1319.0,,0.0,0.0001,0.06349904835224152,360.3460416666667,0.0,84.0625,22.59375,108.40625,277.40625,107.53125,5272.0,2.4023069444444443,-0.010654810728738084,4.8597376,27.28125,485.9737599999996,2673.0,0.214942067861557,
1500160.0,0.0039366763,0.20754567462358864,109.4375,22.5,0.15087890625,0.1,222.50183736860998,-1.3573866114020348,300.0,22.14,0.8002363443374634,517.0,1465.0,216.43271839734143,0.0,0.0001,-0.0019832178950309753,353.2508333333334,0.0,71.09375,31.15625,109.4375,268.84375,119.46875,5856.0,2.3550055555555556,-0.011388509476091713,4.799936,28.46875,479.99359999999956,2898.0,0.10992906335741282,-263.5608816026581
1650688.0,0.0051198374,0.21729336006305228,106.0625,22.8125,0.13525390625,0.1,234.55790642374527,-1.29304601252079,300.0,22.87,0.8170934319496155,526.0,1612.0,,0.0,0.0001,0.03859918192028999,368.03333333333336,0.0,105.40625,28.28125,106.0625,271.71875,88.53125,6444.0,2.4535555555555555,-0.008970927447080612,4.7397248,27.8125,473.9724799999996,3132.0,0.20772269926965237,
1800192.0,0.0040337853,0.15396129886998244,151.75,23.125,0.093994140625,0.1,298.5281832128498,-1.1819196715950966,300.0,22.85,0.922700047492981,527.0,1758.0,286.5705348017829,0.0,0.0001,-0.002120222896337509,465.18666666666667,0.0,78.8125,22.75,151.75,277.25,69.4375,7028.0,3.1012444444444442,-0.010318992746761069,4.6799232,30.25,467.9923199999996,3415.0,0.09125881874933839,-181.4217851982167
1950720.0,0.0055934037,0.26964177716046805,88.3125,23.53125,0.15869140625,0.1,201.6608765314744,-1.1701389774680138,300.0,23.18,0.8679338693618774,530.0,1905.0,,0.0,0.0001,0.03581685572862625,312.52458333333334,0.0,91.625,44.5,88.3125,255.5,120.0625,7616.0,2.0834972222222223,-0.011125287041068077,4.619712,29.0,461.9711999999996,3674.0,0.18387603294104338,
2100224.0,0.0037389332,0.33436982522190184,71.40625,23.3125,0.116943359375,0.1,186.98455137164078,-1.2116710245609283,300.0,23.37,0.8579903244972229,533.0,2051.0,188.86657470760323,0.0,0.0001,0.028020991012454033,282.0739583333333,0.0,108.875,41.875,71.40625,258.125,119.71875,8200.0,1.8804930555555555,-0.008717009797692299,4.5599104,28.125,455.9910399999996,3933.0,0.1359171848744154,-267.1244652923964
2250752.0,0.0055592917,0.22278179485549915,109.6875,23.75,0.1806640625,0.1,235.53544906044738,-1.1864909157156944,300.0,23.42,0.820173978805542,536.0,2198.0,,0.0,0.0001,0.019344158470630646,361.9483333333333,0.0,87.21875,53.46875,109.6875,246.53125,103.09375,8788.0,2.4129888888888886,-0.009482021676376462,4.4996992,30.4375,449.96991999999966,4199.0,0.1841622283682227,
2400256.0,0.0035048767,0.2600567884292887,88.90625,22.5,0.087158203125,0.1,198.58319517725,-1.2169210389256477,300.0,23.18,0.8727560043334961,537.0,2344.0,205.97815030415558,0.0,0.0001,0.025422509759664536,305.5910416666667,0.0,78.8125,43.46875,88.90625,256.53125,132.28125,9372.0,2.037273611111111,-0.009934826055541635,4.4398976,28.0,443.98975999999965,4469.0,0.1401150762103498,-238.01160969584407
2550784.0,0.005454718,0.2437297777179303,94.0,22.4375,0.12158203125,0.1,215.8382766981826,-1.0995375514030457,300.0,23.22,0.6927306056022644,538.0,2491.0,,0.0,0.0001,0.10235275328159332,334.0825,0.0,100.6875,33.6875,94.0,266.3125,105.3125,9960.0,2.2272166666666666,-0.010406844550743699,4.3796864,28.03125,437.9686399999996,4734.0,0.3498677797615528,
2700288.0,0.004486327,0.2980648502210679,78.21875,23.1875,0.101806640625,0.1,190.87347031585574,-0.9808798395097256,300.0,23.69,0.8715955018997192,539.0,2637.0,196.8456081012375,0.0,0.0001,0.034660398960113525,293.90520833333335,0.0,97.53125,22.1875,78.21875,277.8125,124.25,10544.0,1.9593680555555557,-0.012034336978103966,4.3198848,28.28125,431.9884799999996,5008.0,0.1605705856345594,-235.14287189876208
2850816.0,0.0066187633,0.35482917506483147,67.34375,23.78125,0.145751953125,0.1,184.52587526909207,-1.0804758071899414,300.0,24.11,0.8481797575950623,541.0,2784.0,,0.0,0.0001,0.013418827205896378,286.5327083333333,0.0,126.21875,16.4375,67.34375,283.5625,106.4375,11132.0,1.9102180555555557,-0.013390605861786753,4.2596736,28.21875,425.96735999999964,5269.0,0.12964813550934196,
3000320.0,0.004923025,0.3288102716402026,73.40625,23.53125,0.10693359375,0.1,197.9463198241461,-1.0861469507217407,300.0,23.45,0.8747433423995972,542.0,2930.0,201.0491273946522,0.0,0.0001,0.0026166848838329315,313.50604166666665,0.0,145.75,26.46875,73.40625,273.53125,80.84375,11716.0,2.090040277777778,-0.013508608099073172,4.199872,28.28125,419.98719999999963,5530.0,0.12473147781565785,-218.93807260534743
3150848.0,0.0062724957,0.21710188929941593,111.875,23.90625,0.16064453125,0.1,242.13324439713688,-1.0990377441048622,300.0,23.99,0.829267144203186,542.0,3077.0,,0.0,0.0001,0.03371886909008026,392.2029166666667,0.0,122.125,40.84375,111.875,259.15625,66.0,12304.0,2.6146861111111113,-0.01055769543745555,4.1396608,30.65625,413.96607999999964,5809.0,0.1690482199192047,
3300352.0,0.006351183,0.1781855919747893,138.5,24.5625,0.16357421875,0.1,291.09996320073645,-1.1486085206270218,300.0,24.34,0.8628370761871338,543.0,3223.0,283.45768396112067,0.0,0.0001,0.006522767245769501,443.3925,0.0,101.34375,53.5,138.5,246.5,60.15625,12888.0,2.95595,-0.012605354539118707,4.0798592,31.5625,407.9859199999996,6074.0,0.12647601822391152,-124.52823603887896
