total_timesteps,approx_kl,capture_accuracy,capture_attempts,captured_targets,clip_fraction,clip_range,discounted_cost,entropy_loss,ep_len_mean,ep_rew_mean,explained_variance,fps,iterations,jc_hat,lambda,learning_rate,loss,mean_power,n_delegate,n_lookahead,n_move_noop,n_payload,n_roll,n_sense_noop,n_updates,normalised_power,policy_gradient_loss,slack,targets_imaged,threshold,time_elapsed,value_loss,violation
1024.0,,,,,,,,,,,,904.0,1.0,,0.0,,,,,,,,,,,,,5.0,,499.99999999999955,1.0,,
150528.0,0.0008139657,0.014696717914214187,291.59375,4.28125,0.01318359375,0.1,474.41730220009157,-1.2446188926696777,300.0,4.93,0.18494457006454468,647.0,147.0,,0.0,0.0001,0.04290573298931122,748.094375,0.0,4.78125,167.3125,291.59375,132.6875,3.625,584.0,4.987295833333334,-0.0007803935441188514,5.0,12.625,499.99999999999955,232.0,0.13197891367599368,
300032.0,0.0015179637,0.020845467706862016,278.875,5.8125,0.034912109375,0.1,461.1293616332048,-1.3526886999607086,300.0,5.31,0.3136065602302551,658.0,293.0,459.5927489911743,0.0,0.0001,0.043431662023067474,727.8816666666667,0.0,14.40625,124.25,278.875,175.75,6.71875,1168.0,4.852544444444445,-0.0016095386818051338,5.0,14.34375,499.99999999999955,455.0,0.1554694422520697,-40.407251008825256
450560.0,0.0014580677,0.04411484132769886,265.21875,11.71875,0.051025390625,0.1,449.99936532614475,-1.1977754533290863,300.0,11.21,0.6762752532958984,637.0,440.0,,0.0,0.0001,0.02760714292526245,709.0222916666667,0.0,27.625,70.34375,265.21875,229.65625,7.15625,1756.0,4.726815277777778,-0.006766253965906799,5.0,23.90625,499.99999999999955,706.0,0.15444010635837913,
600064.0,0.00484013,0.06894678291909556,226.25,15.6875,0.155029296875,0.1,404.104253390354,-1.339191235601902,300.0,15.51,0.7573690414428711,615.0,586.0,394.25491407774655,0.0,0.0001,0.07557039707899094,633.1550000000001,0.0,52.59375,29.4375,226.25,270.5625,21.15625,2340.0,4.221033333333334,-0.005166161281522363,5.0,29.03125,499.99999999999955,974.0,0.21593263931572437,-105.745085922253
750592.0,0.0029272796,0.07207954078899942,225.71875,16.3125,0.078125,0.1,397.97656083617187,-1.2568299397826195,300.0,16.53,0.709043025970459,606.0,733.0,,0.0,0.0001,0.05932784453034401,620.129375,0.0,38.90625,50.875,225.71875,249.125,35.375,2928.0,4.134195833333333,-0.008722868515178561,5.0,32.25,499.99999999999955,1237.0,0.2172024715691805,
900096.0,0.0034128684,0.09108800304378015,208.75,19.0625,0.111572265625,0.1,375.73407812570474,-1.182581752538681,300.0,18.24,0.6980635523796082,597.0,879.0,379.50935517634065,0.0,0.0001,0.0488642193377018,581.2270833333333,0.0,41.46875,35.78125,208.75,264.21875,49.78125,3512.0,3.874847222222222,-0.007839800702640787,5.0,36.25,499.99999999999955,1505.0,0.2091320911422372,-120.4906448236589
1050624.0,0.0064723142,0.09345878142764658,212.875,19.875,0.1435546875,0.1,390.5722864481495,-1.018930584192276,300.0,18.86,0.7989176511764526,594.0,1026.0,,0.0,0.0001,0.0562792643904686,602.8191666666667,0.0,53.5,8.625,212.875,291.375,33.625,4100.0,4.018794444444444,-0.008026481402339414,4.9797504,36.46875,497.97503999999964,1767.0,0.17167591815814376,
1200128.0,0.002759472,0.09739460631119884,203.5625,19.875,0.11474609375,0.1,374.4382478531594,-1.1295899525284767,300.0,19.19,0.778740406036377,587.0,1172.0,378.2364457689545,0.0,0.0001,0.040412046015262604,578.8304166666667,0.0,53.6875,15.5625,203.5625,284.4375,42.75,4684.0,3.8588694444444442,-0.004924512293655425,4.9199488,39.6875,491.9948799999996,2044.0,0.1632454451173544,-113.7584342310451
1350656.0,0.008635001,0.1305675377582273,161.40625,21.03125,0.189453125,0.1,324.82773572767354,-1.2574509978294373,300.0,19.88,0.7007094621658325,585.0,1319.0,,0.0,0.0001,0.07320713996887207,490.6739583333333,0.0,81.6875,27.5,161.40625,272.5,56.90625,5272.0,3.2711597222222224,-0.004481849318835884,4.8597376,36.65625,485.9737599999996,2306.0,0.22785421460866928,
1500160.0,0.004278871,0.15799516792835178,129.84375,20.4375,0.12841796875,0.1,279.5348216331547,-1.1712035834789276,300.0,19.87,0.7988453507423401,580.0,1465.0,285.9167256824039,0.0,0.0001,0.0405057817697525,423.45270833333336,0.0,96.3125,11.375,129.84375,288.625,73.84375,5856.0,2.823018055555556,-0.008602424699347466,4.799936,36.8125,479.99359999999956,2584.0,0.17778265103697777,-194.07687431759564
1650688.0,0.0038049177,0.13722419505612923,161.28125,22.125,0.157958984375,0.1,307.8910592553481,-1.173561930656433,300.0,19.98,0.7526580095291138,577.0,1612.0,,0.0,0.0001,0.07259120047092438,466.61812499999996,0.0,45.65625,25.1875,161.28125,274.8125,93.0625,6444.0,3.1107875,-0.008713537128642201,4.7397248,39.0,473.9724799999996,2860.0,0.2311246432363987,
1800192.0,0.0060745333,0.1727178421948794,121.84375,20.90625,0.236083984375,0.1,260.50415361247906,-1.185372456908226,300.0,20.03,0.6574150323867798,574.0,1758.0,250.8068519404261,0.0,0.0001,0.07766073942184448,396.61395833333336,0.0,86.375,13.15625,121.84375,286.84375,91.78125,7028.0,2.644093055555556,-0.007145917334128171,4.6799232,37.5625,467.9923199999996,3134.0,0.23743756767362356,-217.1854680595735
1950720.0,0.0026285439,0.21377435061313554,94.8125,20.09375,0.111083984375,0.1,217.3891250591891,-1.1897983476519585,300.0,20.05,0.6501866579055786,561.0,1905.0,,0.0,0.0001,0.08262254297733307,333.20875,0.0,92.71875,13.625,94.8125,286.375,112.46875,7616.0,2.2213916666666664,-0.008510084182489663,4.619712,36.15625,461.9711999999996,3476.0,0.2602195590734482,
2100224.0,0.0046209563,0.19485978917763516,108.0,20.78125,0.150634765625,0.1,246.8531120295796,-1.2139635384082794,300.0,19.93,0.8462052345275879,560.0,2051.0,241.44718290439624,0.0,0.0001,0.07346154004335403,387.58708333333334,0.0,127.15625,26.53125,108.0,273.46875,64.84375,8200.0,2.5839138888888886,-0.009812615608097985,4.5599104,35.625,455.9910399999996,3744.0,0.24069896899163723,-214.54385709560336
2250752.0,0.005406077,0.1897901780076851,115.5,21.84375,0.160400390625,0.1,256.4334473334959,-1.12174504250288,300.0,21.07,0.7924843430519104,553.0,2198.0,,0.0,0.0001,0.06281943619251251,403.9841666666666,0.0,121.28125,13.5,115.5,286.5,63.21875,8788.0,2.6932277777777776,-0.007668511534575373,4.4996992,38.78125,449.96991999999966,4067.0,0.23483543191105127,
2400256.0,0.0028375634,0.14596072539081367,151.96875,22.1875,0.105224609375,0.1,314.39867326306575,-1.0337745621800423,300.0,20.97,0.8313471674919128,539.0,2344.0,303.6109636047454,0.0,0.0001,0.06345103681087494,490.84229166666665,0.0,115.46875,17.15625,151.96875,282.84375,32.5625,9372.0,3.2722819444444444,-0.006817376182880253,4.4398976,42.34375,443.98975999999965,4445.0,0.2041306821629405,-140.37879639525426
2550784.0,0.0038826712,0.1591514117992845,133.8125,21.28125,0.11474609375,0.1,282.26289162269404,-1.0503387190401554,300.0,20.61,0.48573702573776245,518.0,2491.0,,0.0,0.0001,0.0849974974989891,437.0320833333333,0.0,102.125,13.1875,133.8125,286.8125,64.0625,9960.0,2.9135472222222223,-0.008616549108410254,4.3796864,39.625,437.9686399999996,4919.0,0.2903830660507083,
2700288.0,0.0052710394,0.19274837751757412,107.8125,20.6875,0.171142578125,0.1,256.5130761765481,-1.1103242337703705,300.0,20.13,0.8318652510643005,494.0,2637.0,250.80659591128665,0.0,0.0001,0.09884650260210037,403.57124999999996,0.0,152.15625,28.3125,107.8125,271.6875,40.03125,10544.0,2.6904749999999997,-0.005378449277486652,4.3198848,39.6875,431.9884799999996,5465.0,0.3017818182706833,-181.18188408871293
2850816.0,0.0038748411,0.21905541190586628,98.3125,21.34375,0.12841796875,0.1,224.06006959158037,-1.255551092326641,300.0,20.41,0.7139453887939453,474.0,2784.0,,0.0,0.0001,0.07488139718770981,358.90958333333333,0.0,124.0625,46.5,98.3125,253.5,77.625,11132.0,2.3927305555555556,-0.010932570789009333,4.2596736,37.3125,425.96735999999964,6011.0,0.26342463679611683,
3000320.0,0.0048260186,0.3140283576023061,67.6875,21.125,0.1025390625,0.1,162.9954382945021,-1.1242026910185814,300.0,20.34,0.7495284080505371,460.0,2930.0,161.44254373847392,0.0,0.0001,0.05929043889045715,260.96875,0.0,89.8125,34.375,67.6875,265.625,142.5,11716.0,1.7397916666666666,-0.010329688724596053,4.199872,37.40625,419.98719999999963,6513.0,0.2023839969187975,-258.5446562615257
3150848.0,0.00548494,0.2611166802855226,86.34375,22.5,0.1298828125,0.1,201.26082754812148,-1.153317615389824,300.0,21.52,0.7511260509490967,449.0,3077.0,,0.0,0.0001,0.09970031678676605,317.97729166666664,0.0,104.59375,30.09375,86.34375,269.90625,109.0625,12304.0,2.1198486111111112,-0.011283499770797789,4.1396608,40.46875,413.96607999999964,7005.0,0.2815100494772196,
3300352.0,0.0067483126,0.1570048703182269,140.0,22.0,0.137451171875,0.1,279.33817820075205,-1.0427766516804695,300.0,21.77,0.8482401371002197,444.0,3223.0,285.01893208816284,0.0,0.0001,0.04422163963317871,430.38916666666665,0.0,71.78125,28.875,140.0,271.125,88.21875,12888.0,2.8692611111111113,-0.0106864430999849,4.0798592,41.0625,407.9859199999996,7429.0,0.21662561502307653,-122.96698791183678
3450880.0,0.004965106,0.16813682164749155,129.09375,21.65625,0.15087890625,0.1,249.1231270614253,-1.1468207612633705,300.0,20.99,0.7332711219787598,441.0,3370.0,,0.0,0.0001,0.09171326458454132,402.29645833333336,0.0,73.15625,43.40625,129.09375,256.59375,97.75,13476.0,2.681976388888889,-0.00864619284402579,4.019648,39.5,401.9647999999997,7807.0,0.28074787370860577,
3600384.0,0.004394359,0.19506642099066157,106.875,20.78125,0.16943359375,0.1,229.54166716643599,-1.0804637894034386,300.0,21.58,0.793471097946167,440.0,3516.0,219.557636726991,0.0,0.0001,0.06337857246398926,357.11041666666665,0.0,86.3125,30.15625,106.875,269.84375,106.8125,14060.0,2.380736111111111,-0.009108202764764428,3.9598464,39.15625,395.9846399999997,8175.0,0.2208013515919447,-176.42700327300867
